,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.481,0.479,0.335,0.467,0.46,0.399,0.439,0.437,0.314,0.445,0.444,0.273,0.325,0.317,0.284
1,0.471,0.468,0.368,0.43,0.431,0.284,0.279,0.277,0.273,0.458,0.456,0.312,0.328,0.315,0.315
2,0.473,0.468,0.396,0.394,0.392,0.312,0.37,0.366,0.348,0.445,0.445,0.32,0.37,0.36,0.362
3,0.412,0.41,0.314,0.416,0.415,0.304,0.39,0.39,0.288,0.389,0.388,0.241,0.318,0.311,0.302
4,0.436,0.428,0.457,0.419,0.422,0.411,0.322,0.319,0.389,0.432,0.431,0.367,0.378,0.372,0.415
5,0.455,0.451,0.36,0.228,0.227,0.125,0.438,0.437,0.309,0.37,0.368,0.212,0.261,0.255,0.218
6,0.485,0.48,0.358,0.337,0.334,0.252,0.271,0.27,0.19,0.315,0.314,0.159,0.21,0.204,0.184
7,0.495,0.493,0.371,0.512,0.508,0.411,0.84,0.839,0.648,0.368,0.367,0.208,0.315,0.306,0.288
8,0.385,0.37,0.337,0.317,0.304,0.296,0.293,0.289,0.262,0.296,0.291,0.179,0.208,0.196,0.21
9,0.486,0.479,0.439,0.492,0.485,0.464,0.327,0.326,0.331,0.416,0.412,0.311,0.339,0.324,0.357
10,0.35,0.343,0.307,0.346,0.344,0.249,0.347,0.34,0.298,0.444,0.447,0.28,0.312,0.302,0.3
11,0.546,0.542,0.413,0.521,0.519,0.424,0.332,0.327,0.279,0.434,0.439,0.287,0.373,0.356,0.349
12,0.419,0.419,0.293,0.296,0.294,0.198,0.377,0.378,0.258,0.406,0.409,0.214,0.316,0.314,0.257
13,0.455,0.429,0.454,0.455,0.44,0.422,0.564,0.558,0.523,0.473,0.461,0.378,0.371,0.35,0.383
14,0.425,0.418,0.371,0.427,0.418,0.348,0.714,0.714,0.584,0.408,0.403,0.288,0.321,0.308,0.33
15,0.588,0.587,0.405,0.364,0.361,0.292,0.562,0.56,0.337,0.338,0.337,0.194,0.228,0.221,0.215
16,0.369,0.367,0.314,0.426,0.422,0.325,0.389,0.383,0.337,0.451,0.449,0.337,0.351,0.328,0.357
17,0.4,0.397,0.259,0.393,0.393,0.219,0.352,0.353,0.203,0.376,0.375,0.184,0.27,0.264,0.219
18,0.417,0.417,0.355,0.467,0.463,0.386,0.449,0.442,0.409,0.466,0.457,0.351,0.395,0.375,0.384
19,0.41,0.404,0.333,0.279,0.271,0.199,0.626,0.626,0.509,0.254,0.246,0.167,0.152,0.139,0.164
